Folder,ID,Mouse_ID,genotype,age,gender,dates of recording
TDP43_Q331K_R3_07_14_16,12460003,WT_1,WT,7.5,Male,7/14 - 7/19/2016
TDP43_Q331K_R3_07_14_16,14438543,WT_2,WT,7.5,Male,7/14 - 7/19/2016
TDP43_Q331K_R3_07_14_16,14438539,WT_3,WT,7.5,Male,7/14 - 7/19/2016
TDP43_Q331K_R3_07_14_16,14438515,WT_4,WT,7.5,Male,7/14 - 7/19/2016
TDP43_Q331K_R3_07_14_16,14438538,WT_5,WT,7.5,Male,7/14 - 7/19/2016
TDP43_Q331K_R3_07_14_16,12320333,WT_6,WT,7.5,Female,7/14 - 7/19/2016
TDP43_Q331K_R3_07_14_16,12460005,WT_7,WT,7.5,Female,7/14 - 7/19/2016
TDP43_Q331K_R3_07_14_16,14081049,WT_8,WT,7.5,Female,7/14 - 7/19/2016
TDP43_Q331K_R3_07_14_16,12460054,WT_9,WT,7.5,Female,7/14 - 7/19/2016
TDP43_Q331K_R3_07_14_16,12460040,WT_10,WT,7.5,Female,7/14 - 7/19/2016
TDP43_Q331K_R4_09_22_16,14438543,TDP43_1,TDP43_Q331K,10,Male,9/22 - 9/27/2016
TDP43_Q331K_R4_09_22_16,14438538,TDP43_2,TDP43_Q331K,10,Male,9/22 - 9/27/2016
TDP43_Q331K_R4_09_22_16,14438539,TDP43_3,TDP43_Q331K,10,Male,9/22 - 9/27/2016
TDP43_Q331K_R4_09_22_16,12460040,TDP43_4,TDP43_Q331K,10,Male,9/22 - 9/27/2016
TDP43_Q331K_R4_09_22_16,14438515,TDP43_5,TDP43_Q331K,10,Female,9/22 - 9/27/2016
TDP43_Q331K_R4_09_22_16,12460003,TDP43_6,TDP43_Q331K,10,Female,9/22 - 9/27/2016
TDP43_Q331K_R4_09_22_16,14438558,TDP43_7,TDP43_Q331K,10,Female,9/22 - 9/27/2016
TDP43_Q331K_R4_09_22_16,14081049,TDP43_8,TDP43_Q331K,10,Female,9/22 - 9/27/2016
TDP43_Q331K_R4_09_22_16,12320332,TDP43_9,TDP43_Q331K,10,Female,9/22 - 9/27/2016
TDP43_Q331K_R4_09_22_16,12320333,TDP43_10,TDP43_Q331K,10,Male,9/22 - 9/27/2016
TDP43_Q331K_R4_09_22_16,14438508,WT_1,WT,10,Male,9/22 - 9/27/2016
TDP43_Q331K_R4_09_22_16,14438531,WT_2,WT,10,Male,9/22 - 9/27/2016
TDP43_Q331K_R4_09_22_16,14438541,WT_3,WT,10,Male,9/22 - 9/27/2016
TDP43_Q331K_R4_09_22_16,12370818,WT_4,WT,10,Male,9/22 - 9/27/2016
TDP43_Q331K_R4_09_22_16,14081045,WT_5,WT,10,Male,9/22 - 9/27/2016
TDP43_Q331K_R4_09_22_16,12460005,WT_6,WT,10,Female,9/22 - 9/27/2016
TDP43_Q331K_R4_09_22_16,14438544,WT_7,WT,10,Female,9/22 - 9/27/2016
TDP43_Q331K_R4_09_22_16,12460074,WT_8,WT,10,Female,9/22 - 9/27/2016
TDP43_Q331K_R4_09_22_16,14438537,WT_9,WT,10,Female,9/22 - 9/27/2016
TDP43_Q331K_R4_09_22_16,14438514,WT_10,WT,10,Female,9/22 - 9/27/2016
TDP43_Q331K_R5_11_17_16,14438514,TDP43_1,TDP43_Q331K,11.5,Male,11/17 - 11/22/2016
TDP43_Q331K_R5_11_17_16,14438544,TDP43_2,TDP43_Q331K,11.5,Male,11/17 - 11/22/2016
TDP43_Q331K_R5_11_17_16,12460040,TDP43_3,TDP43_Q331K,11.5,Male,11/17 - 11/22/2016
TDP43_Q331K_R5_11_17_16,12460054,TDP43_4,TDP43_Q331K,11.5,Male,11/17 - 11/22/2016
TDP43_Q331K_R5_11_17_16,14081049,TDP43_5,TDP43_Q331K,11.5,Female,11/17 - 11/22/2016
TDP43_Q331K_R5_11_17_16,12370818,TDP43_6,TDP43_Q331K,11.5,Female,11/17 - 11/22/2016
TDP43_Q331K_R5_11_17_16,12460003,TDP43_7,TDP43_Q331K,11.5,Female,11/17 - 11/22/2016
TDP43_Q331K_R5_11_17_16,12460005,TDP43_8,TDP43_Q331K,11.5,Female,11/17 - 11/22/2016
TDP43_Q331K_R5_11_17_16,12460074,TDP43_9,TDP43_Q331K,11.5,Female,11/17 - 11/22/2016
TDP43_Q331K_R5_11_17_16,14081045,TDP43_10,TDP43_Q331K,11.5,Male,11/17 - 11/22/2016
TDP43_Q331K_R5_11_17_16,14438508,WT_1,WT,11.5,Male,11/17 - 11/22/2016
TDP43_Q331K_R5_11_17_16,14438537,WT_2,WT,11.5,Male,11/17 - 11/22/2016
TDP43_Q331K_R5_11_17_16,14438539,WT_3,WT,11.5,Male,11/17 - 11/22/2016
TDP43_Q331K_R5_11_17_16,14438515,WT_4,WT,11.5,Male,11/17 - 11/22/2016
TDP43_Q331K_R5_11_17_16,14438531,WT_5,WT,11.5,Male,11/17 - 11/22/2016
TDP43_Q331K_R5_11_17_16,14438541,WT_6,WT,11.5,Female,11/17 - 11/22/2016
TDP43_Q331K_R5_11_17_16,14438543,WT_7,WT,11.5,Female,11/17 - 11/22/2016
TDP43_Q331K_R5_11_17_16,14438538,WT_8,WT,11.5,Female,11/17 - 11/22/2016
TDP43_Q331K_R5_11_17_16,14438540,WT_9,WT,11.5,Female,11/17 - 11/22/2016
TDP43_Q331K_R5_11_17_16,14438558,WT_10,WT,11.5,Female,11/17 - 11/22/2016
