Mouse ID,Genotype,Gender,Age Group,Day of Recording,Hour (0-23),Date of recording session,drink,eat,groom,hang,sniff,rear,rest,walk,eathand
TDP43_1,TDP43_Q331K,Male,4.0,1,13,3/24/2016,17.19213649851632,1186.3575667655784,636.9770029673591,114.7700296735905,679.9740356083087,695.4302670623146,5.841988130563799,139.17284866468842,124.28412462908011
TDP43_1,TDP43_Q331K,Male,4.0,1,14,3/24/2016,22.39985163204748,1206.654302670623,1185.6231454005933,38.79080118694362,479.2433234421365,369.61424332344217,6.743323442136499,61.190652818991104,229.74035608308606
TDP43_1,TDP43_Q331K,Male,4.0,1,15,3/24/2016,0.40059347181008903,0.23367952522255192,2013.2492581602373,0.0,58.25296735905044,10.415430267062314,1510.3375370919882,2.06973293768546,5.04080118694362
TDP43_1,TDP43_Q331K,Male,4.0,1,16,3/24/2016,34.51780415430267,275.10756676557867,1727.559347181009,33.14910979228487,353.089762611276,262.2885756676558,817.3108308605341,19.195103857566767,77.78189910979229
TDP43_1,TDP43_Q331K,Male,4.0,1,17,3/24/2016,2.737388724035608,3.4718100890207717,1472.9488130563798,0.0,130.32640949554897,51.37611275964392,1926.2870919881307,3.772255192878338,9.08011869436202
TDP43_1,TDP43_Q331K,Male,4.0,1,18,3/24/2016,17.425816023738875,447.02893175074183,1088.1454005934718,116.87314540059346,479.1765578635015,391.17952522255194,907.2774480712167,43.49777448071217,109.3954005934718
TDP43_1,TDP43_Q331K,Male,4.0,1,19,3/24/2016,10.281899109792285,860.3412462908012,644.8553412462908,305.18545994065283,890.1854599406528,677.236646884273,16.224035608308604,83.12314540059347,112.56676557863501
TDP43_1,TDP43_Q331K,Male,4.0,1,20,3/24/2016,23.246173469387756,774.3941326530612,315.2104591836735,455.0701530612245,677.5829081632653,956.25,8.514030612244898,116.23086734693878,273.5012755102041
TDP43_1,TDP43_Q331K,Male,4.0,1,21,3/24/2016,17.626112759643917,728.7462908011869,646.9584569732938,125.15207715133532,774.080118694362,827.4258160237389,5.775222551928784,84.5919881305638,389.6439169139466
TDP43_1,TDP43_Q331K,Male,4.0,1,22,3/24/2016,0.10014836795252226,9.881305637982196,1224.6476261127596,0.0,91.93620178041543,9.981454005934719,2227.566765578635,0.0,35.88649851632048
TDP43_1,TDP43_Q331K,Male,4.0,1,23,3/24/2016,24.6343085106383,608.0285904255319,1029.8038563829787,13.663563829787233,465.45877659574467,260.90425531914894,903.1416223404256,37.350398936170215,257.01462765957444
TDP43_1,TDP43_Q331K,Male,4.0,2,0,3/25/2016,0.0,16.190652818991097,290.8642433234421,0.0,37.288575667655785,3.0712166172106827,2183.100890207715,0.0,1069.484421364985
TDP43_1,TDP43_Q331K,Male,4.0,2,1,3/25/2016,2.870919881305638,235.7158753709199,1139.2544510385758,0.0,133.56454005934717,105.85682492581601,1790.118694362018,10.916172106824925,181.7025222551929
TDP43_1,TDP43_Q331K,Male,4.0,2,2,3/25/2016,18.16023738872404,264.75890207715133,1404.8479228486647,50.20771513353116,575.4859050445103,337.4666172106825,653.0675074183976,26.339020771513354,269.66617210682494
TDP43_1,TDP43_Q331K,Male,4.0,2,3,3/25/2016,10.71587537091988,475.9050445103857,375.656528189911,151.95845697329375,481.3130563798219,379.0949554896142,1172.704005934718,51.77670623145401,500.8753709198813
TDP43_1,TDP43_Q331K,Male,4.0,2,4,3/25/2016,21.43175074183976,734.2878338278931,485.3189910979229,176.59495548961422,858.4050445103858,806.6617210682492,4.439910979228487,101.95103857566765,410.9087537091988
TDP43_1,TDP43_Q331K,Male,4.0,2,5,3/25/2016,13.286350148367953,1008.8278931750742,352.1884272997033,112.29970326409496,1025.1186943620178,773.2121661721068,7.611275964391691,114.33605341246292,193.11943620178042
TDP43_1,TDP43_Q331K,Male,4.0,2,6,3/25/2016,13.286350148367953,471.4317507418398,536.8620178041542,38.65727002967359,1739.143175074184,545.7418397626112,16.491097922848663,81.08679525222551,157.29970326409494
TDP43_1,TDP43_Q331K,Male,4.0,2,7,3/25/2016,23.80192878338279,204.13575667655786,1249.5845697329376,0.0,1655.1520771513353,244.4287833827893,3.0712166172106827,73.84272997032642,145.98293768545994
TDP43_1,TDP43_Q331K,Male,4.0,2,8,3/25/2016,0.0,0.13353115727002968,369.21364985163206,0.0,28.175074183976257,0.8679525222551929,3169.862759643917,0.03338278931750742,31.71364985163205
TDP43_1,TDP43_Q331K,Male,4.0,2,9,3/25/2016,126.72106824925815,555.856824925816,729.5474777448071,27.67433234421365,564.2359050445104,480.11127596439167,847.2885756676558,73.50890207715135,195.05563798219583
TDP43_1,TDP43_Q331K,Male,4.0,2,10,3/25/2016,16.824925816023736,137.7707715133531,1168.1305637982196,0.0,279.81454005934717,143.4792284866469,1690.2373887240358,19.7959940652819,143.94658753709197
TDP43_1,TDP43_Q331K,Male,4.0,2,11,3/25/2016,0.0,0.06676557863501484,390.9124629080119,0.0,33.78338278931751,1.8360534124629082,3171.264836795252,0.0,2.136498516320475
TDP43_1,TDP43_Q331K,Male,4.0,2,12,3/25/2016,26.13872403560831,378.7945103857567,1502.826409495549,34.6513353115727,368.14540059347183,255.44510385756675,745.4043026706231,23.301186943620177,265.29302670623144
TDP43_1,TDP43_Q331K,Male,4.0,2,13,3/25/2016,38.15652818991098,228.87240356083083,1051.123887240356,0.0,420.89020771513356,106.59124629080118,1520.786350148368,18.694362017804153,214.88501483679525
