experimental phase,cam_id,drink,eat,groom,hang,sniff,rear,rest,walk,eathand
FC-C_preexposure,17202338,0.003398038245961093,0.10346212495878668,0.07457704830201121,0.028625638806462256,0.26609040141773815,0.017384499670293443,0.43806627101879336,0.023778025057698646,0.04461795252225517
FC-C_preexposure,17202339,0.001723953181668315,0.08343059676887568,0.10003101302340915,0.02915461177052423,0.23077326491922195,0.009613212990438508,0.4602245095614905,0.017106309759314205,0.0679425280250577
FC-C_preexposure,17202341,0.0018309017474447738,0.09969378503132213,0.08363285113748764,0.06898172189251568,0.2638970285196175,0.028461197659083417,0.3727444980217607,0.032232731618859214,0.04852528437190902
FC-C_preexposure,17202342,0.0016006223211341912,0.11878204335641274,0.09049692960764918,0.02430977992087043,0.22413977497527202,0.022191930431915592,0.42778375370919863,0.03265372568414112,0.05804143999340589
FC-C_preexposure,17202345,0.0021638023409165856,0.051731783712495885,0.08198576079788986,0.02517628997692053,0.2459961259479064,0.009388909495548962,0.5295819939004285,0.015230382459610942,0.03874495136828224
FC-C_preexposure,17202346,0.003007026871084735,0.1074206643587207,0.08565147955819324,0.02156250000000001,0.23104815776458953,0.02000030909990108,0.43963433481701314,0.03717606330365976,0.05449946422683813
FC-C_postcond,17202338,0.0036542231877914368,0.09882409566200365,0.08186268016108522,0.014460797301116293,0.29636895930479,0.010348223117140029,0.41524524869294893,0.014920031439875657,0.06431574113324856
FC-C_postcond,17202339,0.0015604513146090676,0.09466910496170035,0.15421835104547646,0.018206559243668482,0.27054831447105104,0.007319845076254227,0.3628004019736387,0.011821777310054515,0.07885519460354704
FC-C_postcond,17202341,0.0031912048857911813,0.0978475864329584,0.07545739596991238,0.029238190946104473,0.3022201280104893,0.013424280587951145,0.4069161462286936,0.02055284314402043,0.0511522237940791
FC-C_postcond,17202342,0.001484542129597681,0.1027948381754192,0.11812418052584364,0.009264586639983438,0.2717087330066938,0.007730660409909599,0.3732743599475537,0.021686952246221792,0.09393114691877717
FC-C_postcond,17202345,0.003990192188254778,0.07367892139948934,0.08696044096335656,0.010821156234904422,0.31333306017528123,0.006717315920226346,0.43978654854737426,0.014760023462839,0.049952341108274095
FC-C_postcond,17202346,0.0033024808501828716,0.11584906148643986,0.08495014146711755,0.009285504796080327,0.27869669104961703,0.013819569042854186,0.3953850665930578,0.026029733972810706,0.07268175074183977
FC-C_postret,17202338,0.0026817507418397616,0.0709807605470262,0.08123177654496194,0.01722568055734744,0.3157896561733971,0.006728647916397885,0.4514536027609338,0.008472535801832022,0.04543558895626367
FC-C_postret,17202339,0.001777431944265256,0.0839222358405367,0.11099261385627665,0.01997153593084763,0.2901427235195459,0.006301928783382791,0.3869355567023611,0.011445216746226297,0.08851075667655788
FC-C_postret,17202341,0.0014256225003225387,0.0840330279963876,0.08005160624435555,0.021954989678751136,0.31793897561604967,0.013258208618242806,0.4134501193394399,0.019547961553347957,0.04833948845310282
FC-C_postret,17202342,0.0016314830344471686,0.10574667784801964,0.1167910592181654,0.0077520642497742225,0.24878338278931755,0.007883660172880915,0.427254467165527,0.01884337504838085,0.0653138304734873
FC-C_postret,17202345,0.0026536898464714228,0.06138336988775642,0.08745492517094566,0.01881426590117404,0.32349075925686993,0.006798316346277898,0.4349589569087859,0.012322119726486903,0.05212359695523159
FC-C_postret,17202346,0.0037051670752161004,0.10991509160108369,0.09193063798219585,0.00492259063346665,0.30378612437104885,0.009568765320603795,0.3942716262417752,0.02485405109018192,0.057045945684427835
FC-C_postext,17202338,0.0028759537939805004,0.08143545994065281,0.07509427546983186,0.01432081920305214,0.3464619100607602,0.006870186872968771,0.38864190334887655,0.01060278896425039,0.07369670234562668
FC-C_postext,17202339,0.0008630510809665114,0.0754201550798361,0.14042276035043097,0.01878929984456691,0.2155079836088738,0.006153737459375442,0.4659877508124913,0.0119709975978522,0.06488426416560689
FC-C_postext,17202341,0.0020084870001413034,0.07398085346898405,0.09674782746926665,0.01849852515190052,0.3379958845556027,0.011614649569026424,0.38268731454005933,0.016645692030521412,0.05982076621449767
FC-C_postext,17202342,0.0016135014836795253,0.0970480959446093,0.10167134732231171,0.009815025787763176,0.25355067472092696,0.007882930620319344,0.4363503691535962,0.019058879115444398,0.07300917585134944
FC-C_postext,17202345,0.0018011692807686874,0.04174703264094955,0.10068222763883002,0.010523306132542038,0.3095549402995619,0.004541119118270455,0.4612978221704112,0.013842818284583865,0.056009564434082254
FC-C_postext,17202346,0.0027202999152183124,0.08257427229051857,0.09244029956196127,0.0029700084781687152,0.30691213614525936,0.007882709834675709,0.4293580878196976,0.02106008018934577,0.05408210576515474
FC-C_postrenw,17202338,0.0021750217713843376,0.06732901399819377,0.10151381676557862,0.021509321377886723,0.26993936266288227,0.007997355179976778,0.4592703764030447,0.011286950877306157,0.05897878096374663
