experimental phase,cam_id,drink,eat,groom,hang,sniff,rear,rest,walk,eathand
FC-D_preexposure,17202338,0.004720025211396446,0.15510440139666679,0.07804307690591462,0.024430373039423487,0.34053206086432725,0.016877970147921733,0.3064052006871779,0.026344724013297356,0.047542167733874756
FC-D_preexposure,17202339,0.0018542507976171878,0.0623864232167957,0.07726038017893395,0.045508522790656175,0.3548577954530244,0.011563845630396467,0.3691759303674617,0.026498809151960012,0.05089404241315456
FC-D_preexposure,17202341,0.007834706387630801,0.08168931694964415,0.07664180852725287,0.02159492760090137,0.2556663589612013,0.016653326565672342,0.4814333682871868,0.01224551549496888,0.04624067122554159
FC-D_preexposure,17202342,0.003989619821066015,0.06229864349300547,0.07953017279846501,0.045745437406572796,0.2884043612369202,0.011771825706699983,0.45226644597398535,0.019647389058700167,0.03634610450458489
FC-D_preexposure,17202345,0.004827815086678119,0.22212892673077353,0.07212620758126768,0.02813043829901162,0.3166907671627139,0.021079613908658888,0.249969740746525,0.026203746569688314,0.05884274391468284
FC-D_preexposure,17202346,0.0023552018027264005,0.15753462383704073,0.054863861248075685,0.03938262756297272,0.49271491042145427,0.01381063006180139,0.1573292234666786,0.022512187367528615,0.05949673423172177
FC-D_preexposure,6394836,0.004759487740121815,0.17632436525289494,0.12486899277124563,0.021331797594877397,0.3913525467972603,0.01327168068539301,0.18758018004953037,0.02247851174672588,0.05803243736195088
FC-D_preexposure,6394837,0.004761300506459024,0.13726601369893573,0.09117754512393743,0.015499361348475049,0.4491762371433035,0.012668726712924743,0.22525336895651588,0.02127190658396734,0.04292553992548136
FC-D_preexposure,6394839,0.003941093460654604,0.15812405178376207,0.13122957151781528,0.013670559001360967,0.25110557830035024,0.010143891814104994,0.35779426775395456,0.018580785234599856,0.055410201133397306
FC-D_preexposure,6394840,0.007840981348028825,0.13243624640235607,0.11177921621561328,0.020740417438254388,0.3712787393186229,0.01845919044644251,0.25698500702795557,0.016894912540996405,0.06358528926172997
FC-D_preexposure,6394841,0.0044310981459583666,0.10925521797817984,0.11129576537783623,0.06828300350282233,0.2740228492224625,0.015429290957363737,0.3394852580263715,0.029420988487539313,0.04837652830146584
FC-D_preexposure,6394846,0.002526996274067959,0.09147449019432854,0.1640745270074295,0.011173821980767941,0.39557162100354737,0.014051170210392445,0.21160010095714063,0.020234864795519957,0.0892924075768055
FC-D_postcond,17202338,0.002300191316570358,0.10103418319537714,0.07425108347649538,0.015974689598625646,0.3512789415117915,0.009480663360924568,0.31611768897391856,0.018687529283148523,0.11087502928314852
FC-D_postcond,17202339,0.0010139230657885215,0.618254460085402,0.009866695013389304,0.0069255717594267924,0.16389977021061009,0.014526715278280379,0.08705693167836721,0.027827133241658825,0.07062879966707679
FC-D_postcond,17202341,0.022530894912064846,0.09444185604689874,0.05092956140985741,0.003555176594050807,0.20217191684157199,0.006175137511760875,0.5994160273576029,0.005358887602229139,0.015420541723963236
FC-D_postcond,17202342,0.01624651697184628,0.0753324708692191,0.1011708855033654,0.011696189476731563,0.37173500036187296,0.004194108706665702,0.3795017008033582,0.008424857060143303,0.03169827024679742
FC-D_postcond,17202345,0.0034433728981206725,0.09345350186411017,0.06729033515940046,0.004425359506961881,0.28465200106520583,0.008381600471734002,0.49059195008749906,0.014099473103553221,0.03366240584341475
FC-D_postcond,17202346,0.0010516079878097684,0.06744626674151896,0.10472271232656989,0.011765177640548559,0.4255170322399551,0.00584223875210522,0.3361804775844094,0.014498456171304836,0.03297603055577832
FC-D_postcond,6394836,0.0072528407034812194,0.060153253238763846,0.11846050155605417,0.004081475718318015,0.26723940616631686,0.003225419772743721,0.5083744210031119,0.006031292972425275,0.025181388868784828
FC-D_postcond,6394837,0.003127035535933994,0.07315942317435044,0.10225786169211841,0.00136901100094087,0.49269423536223506,0.009522689440544258,0.25420496489831373,0.017811391763769266,0.04585338713179417
