experimental phase,hour,drink,eat,groom,hang,sniff,rear,rest,walk,eathand
"Experiment: FC-B, Phase: postext",04h,0.008330242334322452,0.13373825420375865,0.1682067569238378,0.05402293521266074,0.24717946340257171,0.01763569485657765,0.21154256305637983,0.024143020524233432,0.13520106948565777
"Experiment: FC-B, Phase: postext",05h,0.005280971810089022,0.1784827831355094,0.10742148862512364,0.028768700544015823,0.32490804277942636,0.02298698689416419,0.1697491654302671,0.028060861770524234,0.13434099901088029
"Experiment: FC-B, Phase: postext",06h,0.0005169695845697329,0.0859027262611276,0.0686155415430267,0.01063690034619189,0.2944045190405539,0.00390856824925816,0.4889195412957468,0.008632387487636003,0.038462846191889215
"Experiment: FC-B, Phase: postext",07h,0.0006143360534124629,0.04430637982195845,0.07455566889218596,0.0017541419386745795,0.27839623516320483,0.0022572020276953515,0.5574964453511374,0.005813396389713155,0.03480619436201781
"Experiment: FC-B, Phase: postext",08h,0.0006297910484668645,0.027376205489614242,0.09088618941641936,8.732072205736893e-05,0.29743060707220575,0.0011204871414441148,0.5371932183481701,0.0038815220079129573,0.0413946587537092
"Experiment: FC-B, Phase: postext",09h,0.0002882356577645895,0.019014280415430268,0.07691641938674579,0.0010517124134520278,0.25705056874381804,0.0009473911968348171,0.5798435954500495,0.005093193620178041,0.059794603115727006
"Experiment: FC-B, Phase: postext",10h,0.0007360441394658753,0.048635710311572704,0.06268545994065282,5.795623145400594e-06,0.37890045437685455,0.0016459569732937686,0.41839646698813054,0.004920484050445104,0.08407362759643917
"Experiment: FC-B, Phase: postext",11h,0.0037756552917903065,0.02577274975272008,0.06101168397626113,0.0014635880316518299,0.25047601384767554,0.0007990232443125618,0.6146096068249258,0.0031620919881305636,0.038929587042532146
"Experiment: FC-B, Phase: postext",12h,0.00014064045499505445,0.025151458951533135,0.07099097428288824,0.0,0.22040986646884275,5.2546983184965375e-05,0.6323596686449061,0.0025593471810089023,0.04833549703264095
"Experiment: FC-B, Phase: postext",13h,0.001015393175074184,0.10294108555885263,0.07953604104846687,0.017162772007912958,0.3315289626607319,0.010057338031651831,0.3854475766567755,0.01693403808110781,0.05537679277942631
