experimental phase,hour,drink,eat,groom,hang,sniff,rear,rest,walk,eathand
"Experiment: FC-A, Phase: preexposure",17h,0.0006781651829871414,0.1274533259149357,0.113426990603363,0.01344213649851632,0.19379821958456972,0.003860966864490604,0.5142884520276955,0.011139342235410483,0.021912401088031653
"Experiment: FC-A, Phase: preexposure",18h,0.0008762982195845698,0.15389373145400595,0.09461424332344213,0.07008932987141445,0.22260107566765575,0.012940776458951532,0.4019309470820968,0.023647069732937686,0.019406528189910975
"Experiment: FC-A, Phase: preexposure",19h,0.0018923095944609297,0.2086390331355094,0.07547045004945599,0.13975952027695354,0.23032486399604352,0.019946525717111772,0.27017124134520276,0.03247712660731948,0.02131892927794263
"Experiment: FC-A, Phase: preexposure",20h,0.0024292676393010224,0.2325106124299373,0.06752802505769866,0.17147986729310916,0.24225215339597764,0.025293387322782718,0.19459178206396305,0.04066106165512693,0.023253843142103523
"Experiment: FC-A, Phase: preexposure",21h,0.002227064787339268,0.18077063757006265,0.061114202110122,0.11889811036927135,0.2720542779426311,0.017881171694691726,0.294478960600066,0.03535948318496539,0.017216091740850644
"Experiment: FC-A, Phase: preexposure",22h,0.0020501050939663703,0.18820989943949884,0.05430782228816353,0.11859261663369601,0.278544345532476,0.018043964309264755,0.2808319423837784,0.040413008984503784,0.01900629533465216
"Experiment: FC-A, Phase: preexposure",23h,0.0008278725684141117,0.1332820742664029,0.053170592235410485,0.05506640496208375,0.2781121208374547,0.010050383283877352,0.42974133489943944,0.024618261622156277,0.015130955324760961
"Experiment: FC-A, Phase: postcond",00h,0.0015215442631058356,0.08655106330365975,0.05520369683481701,0.03472737388724036,0.31934501730959447,0.006977157517309595,0.4599120610781404,0.02456416913946587,0.011197916666666667
"Experiment: FC-A, Phase: postcond",01h,0.0005216060830860533,0.04466570845697329,0.04309625370919881,0.002353795746785361,0.18897517927794263,0.0010115294263105836,0.7074168521266073,0.0050290553907022745,0.006930019782393671
"Experiment: FC-A, Phase: postcond",02h,6.259272997032641e-05,0.07184640825914936,0.06897255192878339,0.00742998887240356,0.19132202027695347,0.0018530539070227498,0.6428049270524233,0.0046187252720079125,0.011089731701285856
"Experiment: FC-A, Phase: postcond",03h,0.0006328820474777447,0.08271745178041544,0.09965226261127597,0.015725457467853605,0.2817267865974282,0.004817321958456974,0.47196154797230455,0.010517124134520278,0.03224916543026707
"Experiment: FC-A, Phase: postcond",04h,0.0021853363006923837,0.1683960806132542,0.10559161721068248,0.07735688674579623,0.2910144658753709,0.014645926063303658,0.27130084693372897,0.02989691518298714,0.03961192507418398
"Experiment: FC-A, Phase: postcond",05h,0.003162091988130564,0.21742396142433232,0.09885555761622156,0.08355665801186944,0.3572661659248269,0.016794170375865478,0.13159851013847676,0.04592529055390702,0.045417593966369935
"Experiment: FC-A, Phase: postcond",06h,0.002606484915924827,0.12588557121661723,0.08342451780415429,0.030492705242334325,0.4733617705242335,0.009365727002967358,0.20277030786350148,0.03027015331355094,0.04182276211671612
"Experiment: FC-A, Phase: postcond",07h,0.0006800197823936695,0.04222072823936696,0.04811989985163204,0.009469275469831851,0.29003848293768547,0.002800445103857567,0.5773136127596439,0.007004976508407517,0.02235255934718101
"Experiment: FC-A, Phase: postcond",08h,0.0005161968348170128,0.037821463897131556,0.033208147873392685,0.0056240727002967355,0.15647564292779426,0.0016181379821958457,0.7443651088031652,0.004345944609297725,0.016025284371909
"Experiment: FC-A, Phase: postcond",09h,0.0029828140454995055,0.12663436572700296,0.04912756552917904,0.03241376112759644,0.3230472613748764,0.01972907393669634,0.36990989737883284,0.039033908259149354,0.03712135262116716
"Experiment: FC-A, Phase: postcond",10h,0.0024017062314540057,0.14515408630069238,0.07722551928783382,0.026468224530168147,0.43196402077151336,0.027356113996043523,0.22255656528189907,0.04090318991097923,0.02597057368941642
